"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","経度","緯度","分類"
"100207","303445","高野-1","地価公示","住宅","高野町","大字高野山字西院谷２６２番１０","","135.576401","34.211987","","","","","","","","","","","","","","","","","","","","","","","30,000 "," 29,200 "," 28,400 ","135.576400999535","34.2119869999829","H29地価公示標準地"
"100208","302015","和歌山-41","地価公示","住宅","和歌山市","山口西字東垣内３４３番３","","135.261889","34.270966","","","","","","","","","","","","","","","","","","","","","","",""," 21,600 "," 21,100 ","135.261889000336","34.2709659999685","H29地価公示標準地"
"100209","302023","海南5-2","地価公示","商業","海南市","下津町黒田字川端５５番１","","135.158814","34.126300","","","","","","","","","","","","","","","","","","","","","","",""," 50,600 "," 48,900 ","135.158814000232","34.1263000000333","H29地価公示標準地"
"100210","302074","新宮5-1","地価公示","商業","新宮市","馬町２丁目３番２","","135.987486","33.728530","","","","","","","","","","","","","","","","","","","","","","",""," 66,100 "," 65,200 ","135.987485999999","33.7285299999991","H29地価公示標準地"
"100211","304018","白浜5-2","地価公示","商業","白浜町","日置字蛇原２０３９番６２","","135.431938","33.570447","","","","","","","","","","","","","","","","","","","","","","",""," 26,600 "," 25,800 ","135.43193799962","33.5704469999724","H29地価公示標準地"
"100212","302015","和歌山-32","地価公示","住宅","和歌山市","中島字上野覚６０５番４","","135.196999","34.2161162","","","","","","","","","","","","","","","","","","","","","","","",""," 64,100 ","135.196999000173","34.2161162000349","H29地価公示標準地"
"100213","302015","和歌山-47","地価公示","住宅","和歌山市","美園町２丁目８０番","","135.186521","34.230879","","","","","","","","","","","","","","","","","","","","","","","",""," 170,000 ","135.186521000064","34.2308790000417","H29地価公示標準地"
"100214","304280","串本-3","地価公示","住宅","串本町","サンゴ台１１８４番２８","","135.785867","33.483336","","","","","","","","","","","","","","","","","","","","","","","",""," 49,300 ","135.785867000388","33.4833359999694","H29地価公示標準地"
"100215","302015","和歌山3-1","地価公示","宅見","和歌山市","梅原道免３８番","","135.140991","34.26123","","","","","","","","","","","","","","","","","","","","","","","",""," 13,500 ","135.140991000487","34.2612299999643","H29地価公示標準地"
"100216","302015","和歌山5-27","地価公示","商業","和歌山市","秋月字硲４１２番１","","135.2068","34.2281475","","","","","","","","","","","","","","","","","","","","","","","",""," 96,200 ","135.206800000046","34.2281474999944","H29地価公示標準地"
